disease-id	disease-name	other-ids	parent-ids	disease-treenum	disease-synonyms	disease-category
MESH:D006832	Hydranencephaly	DO:DOID:4626	MESH:D009421	C10.500.450|C16.131.666.450	Absence of Cerebral Hemispheres, Congenital|Cerebral Hemispheres, Absence, Congenital|Congenital Absence of Cerebral Hemispheres|Hemihydranencephalies|Hemihydranencephaly|Hydranencephalies|Hydranencephaly with Proliferative Vasculopathy	Congenital abnormality|Nervous system disease
MESH:C562695	Epileptic Encephalopathy, Early Infantile, 3	OMIM:609304	MESH:D013036	C10.228.140.490.375.760/C562695|C10.228.140.490.493.875/C562695	Early Myoclonic Encephalopathy|EIEE3|Myoclonic Epilepsy, Neonatal, With Suppression-Burst Pattern	Nervous system disease
OMIM:614614	DEAFNESS, AUTOSOMAL DOMINANT 4B	DO:DOID:0110574	MESH:D003638	C09.218.458.341.186/614614|C10.597.751.418.341.186/614614|C23.888.592.763.393.341.186/614614	DFNA4B	Ear-nose-throat disease|Nervous system disease|Signs and symptoms
OMIM:613340	EPILEPSY, HOT WATER, 2		MESH:D004827	C10.228.140.490/613340	HWE2	Nervous system disease
MESH:C535982	Congenital amegakaryocytic thrombocytopenia	DO:DOID:0090118|OMIM:604498	MESH:D013921	C15.378.140.855/C535982	Amegakaryocytic Thrombocytopenia, Congenital|CAMT	Blood disease
MESH:C538613	Panhypopituitarism X-linked	OMIM:312000	MESH:D007018|MESH:D040181	C10.228.140.617.738.300/C538613|C16.320.322/C538613|C19.700.482/C538613	Panhypopituitarism, X-Linked|PHPX|PITUITARY DWARFISM IV, FORMERLY	Endocrine system disease|Genetic disease (inborn)|Nervous system disease
MESH:D020275	Guillain-Barre Syndrome	DO:DOID:12842|OMIM:139393	MESH:D010523|MESH:D011129	C10.114.750.100|C10.314.750.450|C10.668.829.350|C10.668.829.800.750.300|C20.111.258.750.400	Acute Autoimmune Neuropathies|Acute Autoimmune Neuropathy|Acute Infectious Polyneuritis|Acute Inflammatory Demyelinating Polyneuropathy|Acute Inflammatory Demyelinating Polyradiculoneuropathy|Acute Inflammatory Polyneuropathies|Acute Inflammatory Polyneuropathy|Acute, Inflammatory Polyneuropathy|Acute Inflammatory Polyradiculoneuropathies|Acute Inflammatory Polyradiculoneuropathy|Autoimmune Neuropathies, Acute|Autoimmune Neuropathy, Acute|CIDP, INCLUDED|Demyelinating Polyradiculoneuropathy, Acute Inflammatory|GBS|Guillain Barre Syndrome|Guillain-Barré Syndrome|Guillain-Barre Syndrome, Familial|Guillaine Barre Syndrome|Guillaine-Barre Syndrome|Inflammatory Demyelinating Polyradiculoneuropathy, Acute|Inflammatory Polyneuropathies, Acute|Inflammatory Polyneuropathy Acute|Inflammatory Polyneuropathy, Acute|Inflammatory Polyneuropathy Acutes|Inflammatory Polyradiculoneuropathies, Acute|Landry Guillain Barre Syndrome|Landry-Guillain-Barre Syndrome|Neuropathies, Acute Autoimmune|Neuropathy, Acute Autoimmune|Polyneuropathies, Acute Inflammatory|Polyneuropathy Acute, Inflammatory|Polyneuropathy, Acute Inflammatory|Polyneuropathy, Inflammatory Demyelinating, Acute|POLYNEUROPATHY, INFLAMMATORY DEMYELINATING, ACUTE;AIDP  POLYNEUROPATHY, INFLAMMATORY DEMYELINATING, CHRONIC, INCLUDED|Polyradiculoneuropathies, Acute Inflammatory|Polyradiculoneuropathy, Acute Inflammatory|Polyradiculoneuropathy, Acute Inflammatory Demyelinating|Syndrome, Guillain-Barre|Syndrome, Guillaine-Barre|Syndrome, Landry-Guillain-Barre	Immune system disease|Nervous system disease
MESH:D053358	Ectodermal Dysplasia 1, Anhidrotic	DO:DOID:14793|OMIM:305100	MESH:D004476|MESH:D040181	C16.131.077.350.198|C16.131.831.350.198|C16.320.322.116|C16.320.850.250.198|C17.800.804.350.198|C17.800.827.250.198	Anhidrotic Ectodermal Dysplasia, X Linked|Anhidrotic Ectodermal Dysplasia, X-Linked|Anhydrotic Ectodermal Dysplasia, X Linked|Anhydrotic Ectodermal Dysplasia, X-Linked|Christ Siemens Touraine Syndrome|Christ-Siemens-Touraine Syndrome|CST Syndrome|CST Syndromes|Dysplasia 1, Ectodermal|ECTD1|Ectodermal Dysplasia 1|Ectodermal Dysplasia 1, Anhydrotic|ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC/HAIR/TOOTH TYPE, X-LINKED|ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED|Ectodermal Dysplasia 1s|Ectodermal Dysplasia, Anhidrotic, X-Linked|ECTODERMAL DYSPLASIA, HYPOHIDROTIC, 1|Ectodermal Dysplasia, Hypohidrotic, X-Linked|Ectodermal Dysplasia, Hypohydridic, X-Linked|ED1|EDA|EDA1|HED1|Hypohidrotic Ectodermal Dysplasia|Syndrome, CST|Syndromes, CST|XHED|XLHED|X Linked Hypohydridic Ectodermal Dysplasia|X-Linked Hypohydridic Ectodermal Dysplasia	Congenital abnormality|Genetic disease (inborn)|Skin disease
MESH:D011115	Polyneuropathies	DO:DOID:1389|DO:DOID:14402	MESH:D010523	C10.668.829.800	Acquired Polyneuropathies|Acquired Polyneuropathy|Critical Illness Polyneuropathies|Critical Illness Polyneuropathy|Familial Polyneuropathies|Familial Polyneuropathy|Inherited Polyneuropathies|Inherited Polyneuropathy|Motor Polyneuropathies|Motor Polyneuropathy|Polyneuropathies, Acquired|Polyneuropathies, Critical Illness|Polyneuropathies, Familial|Polyneuropathies, Inherited|Polyneuropathies, Motor|Polyneuropathy|Polyneuropathy, Acquired|Polyneuropathy, Critical Illness|Polyneuropathy, Familial|Polyneuropathy, Inherited|Polyneuropathy, Motor	Nervous system disease
MESH:C535789	Spondyloepiphyseal dysplasia, Omani type		MESH:D010009	C05.116.099.708/C535789|C16.320.728/C535789	Chondrodysplasia with Multiple Dislocations|CHST3-Related Skeletal Dysplasia|Humerospinal dysostosis|Humero-Spinal Dysostosis|Humero-spinal dysostosis with congenital heart disease|Kozlowski Celermajer Tink syndrome|Omani type of spondyloepiphyseal dysplasia|SED, Omani Type|SED with Luxations, CHST3 Type|Spondyloepiphyseal Dysplasia, CHST3-Related|Spondyloepiphyseal Dysplasia with Congenital Joint Dislocations	Genetic disease (inborn)|Musculoskeletal disease
MESH:D010911	Pituitary Neoplasms	DO:DOID:1785|DO:DOID:3829|DO:DOID:4916	MESH:D004701|MESH:D007029|MESH:D010900	C04.588.322.609|C04.588.614.250.195.885.500.600|C10.228.140.211.885.500.600|C10.228.140.617.477.600|C10.228.140.617.738.675|C10.551.240.250.700.500.500|C19.344.609|C19.700.734	Adenoma, Pituitary|Adenomas, Pituitary|Cancer of Pituitary|Cancer of the Pituitary|Cancer, Pituitary|Cancers, Pituitary|Carcinoma, Pituitary|Carcinomas, Pituitary|Neoplasm, Pituitary|Neoplasms, Pituitary|Pituitary Adenoma|Pituitary Adenomas|Pituitary Cancer|Pituitary Cancers|Pituitary Carcinoma|Pituitary Carcinomas|Pituitary Neoplasm|Pituitary Tumor|Pituitary Tumors|Tumor, Pituitary|Tumors, Pituitary	Cancer|Endocrine system disease|Nervous system disease
MESH:C536408	Neural crest tumor		MESH:D000310	C04.588.322.078/C536408|C19.053.347/C536408|C19.344.078/C536408	Neural crest-derived tumors	Cancer|Endocrine system disease
MESH:D004915	Leukemia, Erythroblastic, Acute		MESH:D009196|MESH:D015470	C04.557.337.539.275.325|C15.378.190.636.276	Acute Erythroblastic Leukemia|Acute Erythroblastic Leukemias|Di Guglielmo Disease|Di Guglielmo's Disease|Di Guglielmos Disease|Disease, Di Guglielmo|Disease, Di Guglielmo's|Erythremic Myeloses|Erythremic Myelosis|Erythroblastic Leukemia, Acute|Erythroblastic Leukemias, Acute|Erythroleukemia|Erythroleukemias|Leukemia, Acute Erythroblastic|Leukemia, Myeloid, Acute, M6|Leukemias, Acute Erythroblastic|Myeloid Leukemia, Acute, M6|Myeloses, Erythremic|Myelosis, Erythremic	Blood disease|Cancer
MESH:D011644	Puerperal Disorders		MESH:D011248	C13.703.844	Disorder, Puerperal|Disorders, Puerperal|Puerperal Disorder	Pregnancy complication
MESH:D000370	Ageusia		MESH:D013651	C10.597.751.861.184|C23.888.592.763.861.184	Ageusia, Hysterical|Ageusias, Hysterical|Hypogeusia|Hypogeusias|Hysterical Ageusia|Hysterical Ageusias|Taste Blindness|Taste-Blindness	Nervous system disease|Signs and symptoms
MESH:C563661	Renal Hypodysplasia, Nonsyndromic, 1	OMIM:610805	MESH:D007674	C12.777.419/C563661|C13.351.968.419/C563661	CAKUT1|CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 1, SUSCEPTIBILITY TO|RENAL HYPODYSPLASIA, NONSYNDROMIC, 1|RHDNS1	Urogenital disease (female)|Urogenital disease (male)
MESH:D003218	Condylomata Acuminata	DO:DOID:11168	MESH:D014860|MESH:D015229	C02.256.650.810.217|C02.800.801.220|C02.825.810.110|C02.928.914.217|C17.800.838.790.810.110	Genital Wart|Genital Warts|Venereal Wart|Venereal Warts|Wart, Genital|Warts, Genital|Warts, Venereal|Wart, Venereal	Skin disease|Viral disease
MESH:C567707	Spastic Paraplegia 44, Autosomal Recessive	OMIM:613206	MESH:D015419	C10.500.300.820/C567707|C10.574.500.495.820/C567707|C10.668.829.800.300.820/C567707|C16.131.666.300.820/C567707|C16.320.400.375.820/C567707	SPG44	Congenital abnormality|Genetic disease (inborn)|Nervous system disease
MESH:C563391	Laterality Defects, Autosomal Dominant	OMIM:601086	MESH:D059446	C14.240.400.592/C563391|C14.280.400.592/C563391|C15.604.744.146/C563391|C16.131.077.401/C563391|C16.131.240.400.592/C563391		Cardiovascular disease|Congenital abnormality|Lymphatic disease
MESH:C536991	Moyamoya disease 1	OMIM:252350	MESH:D009072	C10.228.140.300.200.600/C536991|C10.228.140.300.510.200.737/C536991|C14.907.137.615/C536991|C14.907.253.123.620/C536991|C14.907.253.560.200.737/C536991	MOYAMOYA DISEASE|MYMY|MYMY1|Spontaneous occlusion of the circle of Willis	Cardiovascular disease|Nervous system disease
MESH:D017243	MERRF Syndrome	DO:DOID:310|OMIM:545000	MESH:D017237|MESH:D020191|MESH:D020739	C05.651.460.620.530|C10.228.140.163.100.545|C10.228.140.490.375.130.650.700|C10.228.140.490.493.063.650.700|C10.668.491.500.500.550|C16.320.565.189.545|C18.452.132.100.545|C18.452.648.189.545|C18.452.660.560.620.530	Fukuhara Disease|Fukuhara Syndrome|MERRF|MERRF SYNDROME|Myoclonic Epilepsy and Ragged Red Fibers|Myoclonic Epilepsy Associated with Ragged Red Fibers|Myoclonic Epilepsy Associated with Ragged-Red Fibers|Myoclonic Epilepsy with Ragged Red Fibers|Myoclonic Epilepsy with Ragged-Red Fibers|Myoclonus with Epilepsy with Ragged Red Fibers|Myoencephalopathy Ragged Red Fiber Disease|Myoencephalopathy Ragged-Red Fiber Disease|Syndrome, Fukuhara|Syndrome, MERRF	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nervous system disease
MESH:C567651	Deafness, Autosomal Recessive 79	OMIM:613307	MESH:D006319	C09.218.458.341.887/C567651|C10.597.751.418.341.887/C567651|C23.888.592.763.393.341.887/C567651	DFNB79	Ear-nose-throat disease|Nervous system disease|Signs and symptoms
MESH:C537417	Butyrylcholinesterase deficiency		MESH:D001049|MESH:D008661	C08.618.085/C537417|C16.320.565/C537417|C18.452.648/C537417|C23.888.852.130/C537417	Acylcholine acylhydrolase deficiency|Apnea, Postanesthetic|Cholinesterase 2 Deficiency|Pseudocholinesterase deficiency|Pseudocholinesterase E1 deficiency|Succinylcholine Sensitivity|Suxamethonium Sensitivity	Genetic disease (inborn)|Metabolic disease|Respiratory tract disease|Signs and symptoms
MESH:C567326	Inflammatory Bowel Disease 23	OMIM:612381	MESH:D015212	C06.405.205.731/C567326|C06.405.469.432/C567326	IBD23	Digestive system disease
MESH:C536925	Tukel syndrome	OMIM:609428	MESH:D005355|MESH:D006228|MESH:D015835	C05.390.408/C536925|C05.660.585.988.425/C536925|C10.228.758/C536925|C10.292.562/C536925|C11.590/C536925|C16.131.621.585.988.500/C536925|C23.550.355/C536925	CFEOM4|CFEOM-U|Congenital extraocular muscle fibrosis with ulnar hand anomalies|FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 4|Fibrosis Of Extraocular Muscles, Congenital, with Ulnar Hand Anomalies	Congenital abnormality|Eye disease|Musculoskeletal disease|Nervous system disease|Pathology (process)
OMIM:300589	NYSTAGMUS 5, CONGENITAL, X-LINKED	DO:DOID:9649	MESH:D020417	C10.292.562.675.300/300589|C11.590.400.300/300589|C16.614.643/300589	NYS5	Eye disease|Infant-newborn disease|Nervous system disease
MESH:C536056	Osteopetrosis autosomal dominant type 1	DO:DOID:0110937|OMIM:607634	MESH:D010022	C05.116.099.708.702.678/C536056	OPTA1|Osteopetrosis, Autosomal Dominant 1|Osteopetrosis, Autosomal Dominant, Type I	Musculoskeletal disease
OMIM:602482	AXENFELD-RIEGER SYNDROME, TYPE 3	DO:DOID:0110122	MESH:C535679	C11.250/C535679/602482|C16.131.384/C535679/602482	ANTERIOR CHAMBER CLEAVAGE SYNDROME|AXENFELD-RIEGER ANOMALY WITH CARDIAC DEFECTS AND/OR SENSORINEURAL HEARING LOSS|RIEG3|RIEGER SYNDROME, TYPE 3	Congenital abnormality|Eye disease
MESH:C567475	Toe Syndactyly, Telecanthus, and Anogenital and Renal Malformations	OMIM:300707	MESH:D006972|MESH:D013576|MESH:D014564	C05.116.099.370.231.480/C567475|C05.116.099.370.894.819/C567475|C05.660.207.231.480/C567475|C05.660.585.800/C567475|C05.660.906.819/C567475|C12.706/C567475|C13.351.875/C567475|C16.131.621.207.231.480/C567475|C16.131.621.585.800/C567475|C16.131.621.906.819/C567475|C16.131.939/C567475	STAR|STAR Syndrome|Syndactyly with Renal and Anogenital Malformations	Congenital abnormality|Musculoskeletal disease|Urogenital disease (female)|Urogenital disease (male)
MESH:D002430	Cecal Neoplasms	DO:DOID:1517|DO:DOID:1521	MESH:D002429|MESH:D007414	C04.588.274.476.411.184|C06.301.371.411.184|C06.405.249.411.184|C06.405.469.110.417|C06.405.469.491.184	Cancer, Cecal|Cancer of Cecum|Cancer of the Cecum|Cecal Cancer|Cecal Neoplasm|Neoplasm, Cecal|Neoplasms, Cecal	Cancer|Digestive system disease
MESH:C562719	Tn Syndrome	OMIM:300622	MESH:D001327	C20.111/C562719	Galactosyltransferase Deficiency|TN POLYAGGLUTINATION SYNDROME|TNPS	Immune system disease
MESH:D004428	Ear Neoplasms	DO:DOID:5101|DO:DOID:833	MESH:D004427|MESH:D010039	C04.588.443.665.312|C09.218.334|C09.647.312	Auricular Cancer|Auricular Cancers|Auricular Neoplasms|Cancer, Auricular|Cancer of Ear|Cancer of Ear Auricle|Cancer of the Ear|Cancers, Auricular|Ear Auricle Cancer|Ear Auricle Cancers|Ear Auricle Neoplasm|Ear Auricle Neoplasms|Ear Cancer|Ear Neoplasm|Neoplasm, Ear|Neoplasms, Auricular|Neoplasms, Ear|Neoplasms of Ear Auricle	Cancer|Ear-nose-throat disease
MESH:C566925	Arrhythmogenic Right Ventricular Dysplasia, Familial, 12	OMIM:611528	MESH:D019571	C14.240.400.145/C566925|C14.280.238.028/C566925|C14.280.400.145/C566925|C16.131.240.400.145/C566925	Arrhythmogenic Right Ventricular Cardiomyopathy 12|ARVC12|ARVD12	Cardiovascular disease|Congenital abnormality
MESH:C562694	Epilepsy, Idiopathic Generalized	OMIM:600669|OMIM:606972|OMIM:607628|OMIM:607682|OMIM:608762|OMIM:609750|OMIM:611934|OMIM:612899|OMIM:613060|OMIM:616685	MESH:D004829	C10.228.140.490.375/C562694	EIG|EIG11|EIG14|EIG1, INCLUDED|EIG2|EIG3|EIG4|EIG5|EIG8|EIG9|EJA2, INCLUDED|EJM6,|EJM6, INCLUDED|EJM7, INCLUDED|EJM8,|EJM8, INCLUDED|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 10;EIG10 GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 5,|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 11|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 14|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 2|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 3|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 4|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 5|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 8|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 9|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, LOCUS ON CHROMOSOME 10|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, LOCUS ON CHROMOSOME 14|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, LOCUS ON CHROMOSOME 8, INCLUDED|EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, LOCUS ON CHROMOSOME 9|EPILEPSY, JUVENILE ABSENCE, SUSCEPTIBILITY TO, 2, INCLUDED|EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 6, INCLUDED|EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 7, INCLUDED|EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 8, INCLUDED|GEFS5, INCLUDED|GEFS+5, SUSCEPTIBILITY TO, INCLUDED|GEFSP5, SUSCEPTIBILITY TO, INCLUDED|GEFS+, TYPE 5, SUSCEPTIBILITY TO, INCLUDED|Idiopathic Generalized Epilepsy|IDIOPATHIC GENERALIZED EPILEPSY;IGE EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 1, INCLUDED|SUSCEPTIBILITY TO, INCLUDED	Nervous system disease
OMIM:103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA	DO:DOID:0080053	MESH:C537045|MESH:D011547	C05.116.198.709/103580|C05.116.198.709/C537045/103580|C16.320.565.618.815/103580|C16.320.565.618.815/C537045/103580|C18.452.104.709/103580|C18.452.104.709/C537045/103580|C18.452.174.766/103580|C18.452.174.766/C537045/103580|C18.452.648.618.815/103580|C18.452.648.618.815/C537045/103580	ALBRIGHT HEREDITARY OSTEODYSTROPHY WITH MULTIPLE HORMONE RESISTANCE|PHP1A|PHP IA	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease
MESH:C563716	Muscular Dystrophy, Congenital, Merosin-Positive	OMIM:609456	MESH:D009136	C05.651.534.500/C563716|C10.668.491.175.500/C563716|C16.320.577/C563716		Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease
MESH:C567060	Tooth Agenesis, Selective, X-Linked, 1	OMIM:313500	MESH:D000848|MESH:D040181	C07.650.800.100/C567060|C07.793.700.100/C567060|C16.131.850.800.100/C567060|C16.320.322/C567060	Hypodontia-Oligodontia, X-Linked, 1|HYPODONTIA/OLIGODONTIA, X-LINKED, 1|STHAGX1	Congenital abnormality|Genetic disease (inborn)|Mouth disease
MESH:D008539	Meigs Syndrome		MESH:D010051	C04.588.322.455.531|C13.351.500.056.630.705.531|C13.351.937.418.685.531|C19.344.410.531|C19.391.630.705.531	Meig's Syndrome|Meigs' Syndrome|Meig Syndrome	Cancer|Endocrine system disease|Urogenital disease (female)
OMIM:613652	C1q DEFICIENCY		MESH:D005921|MESH:D007153|MESH:D008180|MESH:D012868	C12.777.419.570.363/613652|C13.351.968.419.570.363/613652|C16.131.831/613652|C17.300.480/613652|C17.800.804/613652|C20.111.590/613652|C20.673/613652	C1QD	Congenital abnormality|Connective tissue disease|Immune system disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)
MESH:C565406	Mental Retardation, Autosomal Recessive 1	OMIM:249500	MESH:D008607	C10.597.606.643/C565406|C23.888.592.604.646/C565406|F03.625.539/C565406	MRT1	Mental disorder|Nervous system disease|Signs and symptoms
MESH:C563918	Erythrocytosis, Familial, 2	OMIM:263400	MESH:D011086	C15.378.738/C563918	ECYT2|Erythrocytosis, Autosomal Recessive Benign|Polycythemia, Chuvash Type|Polycythemia, VHL-Dependent	Blood disease
OMIM:600652	DEAFNESS, AUTOSOMAL DOMINANT 4A	DO:DOID:0110573	MESH:D003638	C09.218.458.341.186/600652|C10.597.751.418.341.186/600652|C23.888.592.763.393.341.186/600652	DEAFNESS, AUTOSOMAL DOMINANT 4|DFNA4|DFNA4A	Ear-nose-throat disease|Nervous system disease|Signs and symptoms
MESH:C564596	Cataract, Nuclear Progressive	OMIM:607304	MESH:D002386	C11.510.245/C564596	CATARACT 27|CATARACT 27, NUCLEAR PROGRESSIVE|Cataract, Congenital, Nuclear Progressive|CCNP|CTRCT27	Eye disease
MESH:C580280	Congenital Methemoglobinemia		MESH:D008708	C15.378.619/C580280		Blood disease
MESH:D014005	Tinea		MESH:D003881	C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883	Dermatophytoses|Dermatophytosis|Epidermophytoses|Epidermophytosis|Infections, Trichophyton mentagrophytes|Infection, Trichophyton mentagrophytes|Ringworm|Tineas|Trichophyton mentagrophytes Infection|Trichophyton mentagrophytes Infections|Trichophytoses|Trichophytosis	Bacterial infection or mycosis|Skin disease
MESH:C562716	Delta-Beta Thalassemia		MESH:D017086|MESH:D055538	C15.378.071.141.150.875.150/C562716|C15.378.071.141.150.875.575/C562716|C15.378.420.826.150/C562716|C15.378.420.826.200/C562716|C16.320.070.875.150/C562716|C16.320.070.875.575/C562716|C16.320.365.826.150/C562716|C16.320.365.826.575/C562716		Blood disease|Genetic disease (inborn)
MESH:C566574	Spondyloepimetaphyseal Dysplasia, Missouri Type	OMIM:602111	MESH:D010009	C05.116.099.708/C566574|C16.320.728/C566574	MANDP1, INCLUDED|SEMD, Missouri Type|SEMD, MISSOURI TYPE  METAPHYSEAL ANADYSPLASIA 1, INCLUDED	Genetic disease (inborn)|Musculoskeletal disease
OMIM:615573	NEPHROTIC SYNDROME, TYPE 9	DO:DOID:1184	MESH:D009404	C12.777.419.630.643/615573|C13.351.968.419.630.643/615573	NPHS9	Urogenital disease (female)|Urogenital disease (male)
MESH:D044343	Overnutrition	DO:DOID:654	MESH:D009748	C18.654.726	Hypernutrition	Nutrition disorder
MESH:D006947	Hyperkalemia		MESH:D014883	C18.452.950.396	Hyperkalemias|Hyperpotassemia|Hyperpotassemias	Metabolic disease
MESH:C537258	Fibrolamellar hepatocellular carcinoma	DO:DOID:5015	MESH:D006528	C04.557.470.200.025.255/C537258|C04.588.274.623.160/C537258|C06.301.623.160/C537258|C06.552.697.160/C537258	Fibrolamellar variant of hepatocellular carcinoma|Hepatocellular carcinoma (fibrolamellar variant)	Cancer|Digestive system disease
MESH:D006528	Carcinoma, Hepatocellular	OMIM:114550	MESH:D000230|MESH:D008113	C04.557.470.200.025.255|C04.588.274.623.160|C06.301.623.160|C06.552.697.160	Adult Liver Cancer|Adult Liver Cancers|Cancer, Adult Liver|CANCER, HEPATOCELLULAR|Cancers, Adult Liver|Carcinoma, Liver Cell|Carcinomas, Hepatocellular|Carcinomas, Liver Cell|Cell Carcinoma, Liver|Cell Carcinomas, Liver|HCC|HEPATOBLASTOMA CAUSED BY SOMATIC MUTATION, INCLUDED|Hepatocellular Carcinoma|Hepatocellular Carcinomas|Hepatoma|HEPATOMA  HEPATOBLASTOMA, INCLUDED|Hepatomas|LCC|LIVER CANCER|Liver Cancer, Adult|Liver Cancers, Adult|Liver Cell Carcinoma|Liver Cell Carcinoma, Adult|Liver Cell Carcinomas	Cancer|Digestive system disease
MESH:D015811	Iris Neoplasms	DO:DOID:3478	MESH:D007499|MESH:D014604	C04.588.364.978.400|C11.319.494.400|C11.941.375.375|C11.941.855.400	Iris Neoplasm|Neoplasm, Iris|Neoplasms, Iris	Cancer|Eye disease
MESH:C567843	Myopathy, Myofibrillar, Bag3-Related		MESH:D020914	C05.651.575/C567843|C10.668.491.550/C567843		Musculoskeletal disease|Nervous system disease
MESH:C564516	Mental Retardation, X-Linked, with Epilepsy	OMIM:300423	MESH:D004827|MESH:D038901	C10.228.140.490/C564516|C10.597.606.643.455/C564516|C16.320.322.500/C564516|C16.320.400.525/C564516	MENTAL RETARDATION, X-LINKED, SYNDROMIC, HEDERA TYPE|MENTAL RETARDATION, X-LINKED, WITH EPILEPSY|MRXE|MRXSH	Genetic disease (inborn)|Nervous system disease
MESH:C567554	Hypotrichosis 5	OMIM:612841	MESH:D007039	C17.800.329.937/C567554	HYPT5|Marie Unna Hereditary Hypotrichosis 2|MUHH2	Skin disease
MESH:D004827	Epilepsy	DO:DOID:1826	MESH:D001927	C10.228.140.490	Aura|Auras|Awakening Epilepsy|Cryptogenic Epilepsies|Cryptogenic Epilepsy|Epilepsies|Epilepsies, Cryptogenic|Epilepsy, Awakening|Epilepsy, Cryptogenic|Seizure Disorder|Seizure Disorders	Nervous system disease
MESH:D009455	Neurofibroma	DO:DOID:962	MESH:D018317	C04.557.580.600.580|C10.551.775.500.750|C10.668.829.725.500.600	Neurofibromas	Cancer|Nervous system disease
MESH:D009846	Oliguria		MESH:D014555|MESH:D020924	C12.777.934.600|C13.351.968.934.600|C23.888.942.400	Oligurias	Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)
MESH:C536105	Myopia 6	OMIM:608908	MESH:D009216	C11.744.636/C536105	Myopia, susceptibility to|MYP6	Eye disease
MESH:C565311	Inclusion Body Myopathy 3, Autosomal Dominant	OMIM:605637	MESH:D003286|MESH:D009886|MESH:D018979	C05.550.323/C565311|C05.651.197/C565311|C05.651.594.600/C565311|C10.292.562.750/C565311|C10.597.622.447/C565311|C10.668.491.562.500/C565311|C11.590.472/C565311|C23.888.592.636.447/C565311	IBM3, FORMERLY|INCLUSION BODY MYOPATHY 3, AUTOSOMAL DOMINANT, FORMERLY|MYOPATHY, PROXIMAL, AND OPHTHALMOPLEGIA|Myopathy with Congenital Joint Contractures, Ophthalmoplegia, and Rimmed Vacuoles|MYPOP	Eye disease|Musculoskeletal disease|Nervous system disease|Signs and symptoms
OMIM:613285	DEAFNESS, AUTOSOMAL RECESSIVE 25	DO:DOID:0110483	MESH:D003638	C09.218.458.341.186/613285|C10.597.751.418.341.186/613285|C23.888.592.763.393.341.186/613285	DFNB25	Ear-nose-throat disease|Nervous system disease|Signs and symptoms
MESH:D000564	Ameloblastoma		MESH:D009808	C04.557.695.065	Ameloblastomas	Cancer
MESH:C536747	Worster Drought syndrome		MESH:D004401|MESH:D008607|MESH:D010244|MESH:D013341	C04.557.645.375.850/C536747|C10.562.800/C536747|C10.574.562.300/C536747|C10.597.606.150.500.800.150.200/C536747|C10.597.606.643/C536747|C10.668.467.300/C536747|C14.907.077.850/C536747|C23.888.592.604.150.500.800.150.200/C536747|C23.888.592.604.646/C536747|F03.625.539/C536747	Congenital suprabulbar paresis|Suprabulbar paresis congenital|Suprabulbar Paresis, Congenital|Worster-Drought Syndrome	Cancer|Cardiovascular disease|Mental disorder|Nervous system disease|Signs and symptoms
OMIM:607965	SYSTEMIC LUPUS ERYTHEMATOSUS WITH NEPHRITIS, SUSCEPTIBILITY TO, 1		MESH:D008180|MESH:D009393	C12.777.419.570/607965|C13.351.968.419.570/607965|C17.300.480/607965|C20.111.590/607965	SLEN1	Connective tissue disease|Immune system disease|Urogenital disease (female)|Urogenital disease (male)
MESH:D008275	Magnesium Deficiency		MESH:D003677	C18.654.521.500.439	Deficiencies, Magnesium|Deficiency, Magnesium|Magnesium Deficiencies	Nutrition disorder
